UserId,NumPosts
12679199,2
11830844,1
13432512,4
13719860,2
13770707,2
14127470,8
14246920,5
14517390,2
13230479,2
12387172,1
12686226,8
9553633,6
13772534,2
13724405,3
14815029,15
12906320,2
12396365,6
13725673,2
14286799,2
12982630,2
6827508,25
8069601,2
13971100,3
14046520,2
11612153,1
14072493,10
14227930,7
11350173,1
13399887,3
13654564,9
9268147,2
13617803,4
12730469,3
11459188,12
7903661,3
10198605,3
14102095,2
14293077,3
11235139,6
14145280,13
9028234,2
2444036,2
13925284,2
14796650,2
12531893,3
13311407,2
11053508,2
10428028,2
11511810,1
14071635,11
12732120,4
14802149,2
8681167,3
14041109,2
14657717,2
12683101,3
13974873,2
14466310,1
9068493,26
9860131,13
14163240,2
14470028,3
13767974,3
14862938,4
12908061,6
12731880,2
13416457,2
4497992,2
11961322,6
13751776,3
14671715,1
2367574,2
2584078,3
13884468,4
6677382,2
13992557,9
14499516,2
6153319,2
4044794,2
7195526,7
6900687,46
13178654,1
13575685,5
8418862,2
8821498,2
14375373,7
14829702,2
12655419,30
13097914,3
13285834,16
13249442,5
13371720,4
3394179,2
13676900,3
11121036,2
13909058,2
14019630,7
10883307,1
14266642,16
14624722,4
12886800,2
13547067,18
13611770,3
12773299,2
10801566,2
13969718,2
12154822,3
14862710,4
12751976,2
13023584,2
11763262,3
11918353,2
14046137,1
10833052,2
1313194,1
11862940,5
7919386,2
12998036,6
12490439,5
13506995,12
13830019,3
10358176,4
14229661,10
14465024,2
12236599,2
13019031,7
14650076,54
12804603,6
13195537,2
12532252,11
14101669,2
14152924,2
13093162,11
13749629,5
13912598,2
14293092,6
14242962,3
13134344,11
8718999,4
14599604,2
7913337,6
13527400,8
13816362,2
12395667,2
14341777,2
13454830,29
13168599,10
8833901,3
13354553,2
13987305,2
2489234,2
13143331,48
6846120,11
13959678,4
14755669,2
14496185,3
4921062,2
13340625,5
11329182,4
13321657,3
13801623,2
13816325,13
14043952,4
14246144,2
14296554,4
11819123,25
12851547,3
13039759,3
13605442,6
13982196,4
14040808,9
14754915,1
10822785,2
9113727,2
12751431,2
13004060,10
13872339,2
14382412,4
11179243,2
13284440,10
12677750,1
13551293,3
13873910,4
13516013,3
11953993,1
14390726,2
12639323,9
12854324,3
4904405,7
13672622,1
10081829,4
13813810,9
12334587,2
13186055,4
9680024,5
14656535,1
12711925,3
13329248,10
13259611,2
8663683,2
14176786,61
14879058,3
12935161,2
13279871,1
8662198,1
10845336,5
13364365,4
14348702,3
14586751,3
10354063,7
13610977,2
8509550,8
12284616,5
13106853,9
13721605,2
13967222,23
6843014,2
10990805,1
13864990,2
12332047,6
14033038,2
13953201,2
14505264,2
14812471,1
12789901,6
13007173,2
13017276,3
13920975,4
13817427,3
14127863,4
14281945,3
12955828,2
13270102,3
13717098,2
14274049,2
12647721,26
12594683,3
12959379,2
13393534,3
13413514,6
13558506,2
14024648,7
13714684,9
14739549,5
12758659,3
13008958,2
12370555,4
13085124,6
10423375,3
11085003,5
13451800,3
12881990,6
13334629,6
14040603,3
13857339,61
6865029,8
12893602,11
11150903,4
13187386,3
13811417,1
13164288,2
13822990,7
4092368,2
14235934,2
6474945,2
13410817,2
7155061,3
13989778,2
14016548,7
6621003,14
12679266,4
9774557,2
13771770,7
6606625,2
12749836,5
11798521,2
10338680,10
5714954,5
13722907,7
11365094,4
13689758,5
14317745,2
13162351,1
12431520,5
13525124,12
13598602,12
8811732,2
13830297,15
13611181,7
14368272,4
7729503,1
13586665,8
12647804,14
12840242,2
13059479,6
13970140,2
8136371,3
14326756,6
14619002,13
11869227,31
12871404,2
12081299,2
13251026,1
9984221,3
8615626,2
12293028,4
14316061,7
12697065,3
12300394,3
9028800,2
14598764,2
14824559,3
12763293,3
12921886,2
13085566,4
5083218,2
13331264,2
13696857,4
11821400,5
13950870,13
14682450,2
13508560,2
14488195,3
5023329,10
13265749,3
5708681,3
13591562,2
9653481,3
14375582,2
10390549,10
14482130,28
14761094,2
9800945,8
10950088,7
13466617,2
13969233,13
14099498,3
14282206,4
2360438,2
14823369,1
1375250,2
13266693,2
12937433,1
14701432,2
14577651,2
12675355,11
12296396,2
7276428,2
13780134,4
13607895,5
13788588,2
14890048,2
12256302,7
8344895,2
12120965,2
14730811,5
14755373,2
14868274,5
13066296,2
7500831,3
13608116,2
13491831,2
10539669,2
13928748,13
11599770,2
13722634,2
14356887,2
14381230,5
11212952,2
13635061,4
12719620,5
12248130,3
13558722,10
9391380,2
12654569,2
11819457,4
14187542,2
10688192,2
14467251,9
10820597,2
10831476,2
13080932,4
13228383,49
13478056,2
13497889,1
13792814,5
9539985,6
14008835,3
14234589,2
14450676,22
14860288,6
13463966,2
13560765,4
13783227,2
12638258,3
8352581,5
14355670,13
14732457,14
9899052,2
3419676,4
11609111,4
14787241,2
847570,6
13488587,5
13676520,2
13892523,2
14360561,7
14918781,9
12226127,2
11751589,2
14019579,4
14292705,2
14054510,2
14889718,3
12138271,4
11631727,2
12003022,9
7360272,17
10783281,3
14230717,3
14101088,5
14917458,2
13335500,4
13596696,73
11066504,2
14103359,5
13036917,4
13457053,2
12220000,2
12181035,2
7998669,2
13970892,11
12299204,2
6357221,3
6563437,3
10621323,8
13531390,2
9141592,5
11837706,3
12289194,3
13407849,3
13628417,6
14130778,5
3911546,2
8522134,2
13966654,2
14082217,2
14293971,7
12893372,9
13816924,2
13963517,16
14437397,3
14260778,3
13340046,3
8409808,11
14016984,6
14058190,2
14298329,2
14361960,1
14605593,2
13142120,2
2099191,10
12344308,3
13438018,7
13665384,2
10937611,1
14407864,3
14330012,3
13824787,2
13839793,3
13987300,10
14174964,2
14499422,11
12763508,3
13848126,2
13475809,6
12464160,3
13681064,8
